,SYM,ADP,PUNCT,DET,ADV,INTJ,X,CCONJ,NUM,ADJ,NOUN,SPACE,PRON,VERB,PROPN,PART,length
0,0.0027787426189649182,0.09100382077110107,0.1738450850989927,0.0962139631816603,0.07936783605418549,0.018235498436957275,0.0005210142410559222,0.031087183049670026,0.023792983674887115,0.05088572420979507,0.1547412295936089,0.0,0.08110455019103856,0.16741924279263634,0.010941299062174366,0.01806182702327197,5758.0
1,0.004810676598386096,0.10505896958410925,0.12150837988826815,0.08535071384233395,0.0856610800744879,0.01303538175046555,0.01101800124146493,0.040657976412166355,0.007914338919925512,0.06284916201117319,0.16620111731843576,0.00031036623215394165,0.08891992551210429,0.17752948479205463,0.0057417752948479206,0.023432650527622594,6444.0
2,0.002162496138399753,0.09715786221810319,0.17191844300278036,0.09468643805993203,0.08758109360519,0.019616929255483473,0.0,0.030583873957367932,0.02610441767068273,0.04788384306456596,0.14535063330244052,0.0,0.07352486870559159,0.17593450725980847,0.01143033673154155,0.01606425702811245,6474.0
3,0.005248950209958008,0.09478104379124175,0.17276544691061788,0.09208158368326334,0.09118176364727054,0.01784643071385723,0.004799040191961607,0.035992801439712056,0.01904619076184763,0.04844031193761248,0.1346730653869226,0.00029994001199760045,0.08983203359328135,0.17141571685662868,0.004199160167966407,0.01739652069586083,6668.0
4,0.0001392757660167131,0.07855153203342619,0.1347493036211699,0.10327298050139276,0.09832869080779945,0.008635097493036212,0.0011142061281337048,0.03238161559888579,0.009749303621169917,0.07444289693593314,0.16016713091922005,0.0001392757660167131,0.07834261838440111,0.19282729805013926,0.004735376044568245,0.022423398328690808,14360.0
5,0.0002871912693854107,0.08242389431361287,0.14869327972429638,0.10432222860425043,0.09154221711659966,0.005025847214244687,0.0005025847214244687,0.0362578977599081,0.01694428489373923,0.0699310740953475,0.16570936243538195,7.179781734635267e-05,0.07021826536473291,0.17209936817920735,0.013569787478460655,0.022400919012062034,13928.0
6,0.0001437711163827187,0.07979296959240889,0.12119905111063188,0.10394651714470562,0.09208540004313133,0.009560779239450794,0.002587880094888937,0.036230321328445114,0.020415498526346058,0.07238875709869887,0.1633958737689598,7.188555819135935e-05,0.07591114945007547,0.1920782114873122,0.0046006757242469986,0.02559125871612393,13911.0
7,0.0002892681515765114,0.08518947063928262,0.13328030083887765,0.09639861151287243,0.09907434191495516,0.008894995660977727,0.002097194098929708,0.039702053803876196,0.025455597338733007,0.06985825860572752,0.15584321666184553,7.231703789412785e-05,0.07499276829621059,0.17645357246167198,0.008822678623083599,0.02357535435348568,13828.0
8,0.0018369690011481056,0.08687332567929583,0.1359357060849598,0.10707998469192499,0.08694986605434367,0.005970149253731343,0.003980099502487562,0.03658629927286644,0.011098354381936472,0.07034060466896287,0.1675468809797168,7.654037504783774e-05,0.07967853042479908,0.17941063911213165,0.005357826253348641,0.02127822426329889,13065.0
9,0.0017033251869954826,0.08435162556468932,0.1378212249129823,0.10160705028512182,0.08894319780789454,0.00681330074798193,0.001925498037473154,0.030437680515441014,0.010219951121972895,0.07583499962971192,0.1510775383248167,7.405761682589055e-05,0.08087091757387248,0.20158483300007407,0.002221728504776716,0.02451307116936977,13503.0
10,0.0016246953696181965,0.09932796691529429,0.12812938483125322,0.10014031460010339,0.0963739753341703,0.004504837161214091,0.00044309873716859906,0.031755409497082936,0.020013292962115056,0.06801565615537995,0.15316446348127907,0.0001476995790561997,0.07192969500036925,0.18661841813750832,0.012259065061664574,0.025552027176722548,13541.0
